run_timestamp,booking_type,outbound_date,outbound_from,outbound_to,outbound_departure,outbound_arrival,outbound_duration_min,return_date,return_from,return_to,return_departure,return_arrival,return_duration_min,price,airlines
2026-09-13T16:24:09,separate_outbound,2026-12-28,YUL,YYZ,21:20,22:56,96,,,,,,,214,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-12-28,YUL,YYZ,17:10,18:55,105,,,,,,,321,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-12-28,YUL,YYZ,18:10,19:50,100,,,,,,,359,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-12-28,YUL,YYZ,19:10,20:50,100,,,,,,,426,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-12-28,YUL,YYZ,20:00,21:35,95,,,,,,,426,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-12-28,YUL,YYZ,17:25,19:00,95,,,,,,,461,Porter Airlines
2026-09-13T16:24:09,separate_outbound,2026-12-28,YUL,YTZ,18:30,19:56,86,,,,,,,426,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-12-28,YUL,YTZ,19:55,21:20,85,,,,,,,461,Porter Airlines
2026-09-13T16:24:09,separate_return,,,,,,,2026-12-29,YYZ,YUL,06:20,07:50,90,210,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2026-12-29,YTZ,YUL,14:45,16:00,75,441,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YTZ,18:30,19:56,86,2026-12-29,YTZ,YUL,,,,839,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YTZ,19:55,21:20,85,2026-12-29,YTZ,YUL,,,,908,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,21:20,22:56,96,2026-12-29,YYZ,YUL,,,,426,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,20:00,21:40,100,2026-12-29,YYZ,YUL,,,,518,WestJet
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,17:10,18:55,105,2026-12-29,YYZ,YUL,,,,533,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,18:10,19:50,100,2026-12-29,YYZ,YUL,,,,572,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,19:10,20:50,100,2026-12-29,YYZ,YUL,,,,639,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YTZ,18:30,19:56,86,2026-12-29,YYZ,YUL,,,,839,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YTZ,19:55,21:20,85,2026-12-29,YYZ,YUL,,,,908,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,21:20,22:56,96,2026-12-29,YTZ,YUL,,,,426,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,20:00,21:40,100,2026-12-29,YTZ,YUL,,,,518,WestJet
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,17:10,18:55,105,2026-12-29,YTZ,YUL,,,,533,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,18:10,19:50,100,2026-12-29,YTZ,YUL,,,,572,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,19:10,20:50,100,2026-12-29,YTZ,YUL,,,,639,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2026-12-30,YTZ,YUL,14:45,16:00,75,441,Porter Airlines
2026-09-13T16:24:09,separate_return,,,,,,,2026-12-30,YYZ,YUL,06:20,07:50,90,210,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,21:20,22:56,96,2026-12-30,YYZ,YUL,,,,426,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,20:00,21:40,100,2026-12-30,YYZ,YUL,,,,518,WestJet
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,17:10,18:55,105,2026-12-30,YYZ,YUL,,,,533,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,18:10,19:50,100,2026-12-30,YYZ,YUL,,,,572,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,19:10,20:50,100,2026-12-30,YYZ,YUL,,,,639,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,21:20,22:56,96,2026-12-30,YTZ,YUL,,,,426,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,20:00,21:40,100,2026-12-30,YTZ,YUL,,,,518,WestJet
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,17:10,18:55,105,2026-12-30,YTZ,YUL,,,,533,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,18:10,19:50,100,2026-12-30,YTZ,YUL,,,,572,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YYZ,19:10,20:50,100,2026-12-30,YTZ,YUL,,,,639,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YTZ,18:30,19:56,86,2026-12-30,YYZ,YUL,,,,839,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YTZ,19:55,21:20,85,2026-12-30,YYZ,YUL,,,,908,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YTZ,18:30,19:56,86,2026-12-30,YTZ,YUL,,,,839,Air Canada
2026-09-13T16:24:09,roundtrip,2026-12-28,YUL,YTZ,19:55,21:20,85,2026-12-30,YTZ,YUL,,,,908,Porter Airlines
