run_timestamp,booking_type,outbound_date,outbound_from,outbound_to,outbound_departure,outbound_arrival,outbound_duration_min,return_date,return_from,return_to,return_departure,return_arrival,return_duration_min,price,airlines
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YTZ,18:30,19:56,86,,,,,,,242,Air Canada
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YTZ,19:55,21:20,85,,,,,,,242,Porter Airlines
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YTZ,20:10,21:36,86,,,,,,,242,Air Canada
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YYZ,17:10,18:55,105,,,,,,,168,Air Canada
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YYZ,17:25,19:00,95,,,,,,,168,Porter Airlines
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YYZ,19:10,20:50,100,,,,,,,168,Air Canada
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YYZ,20:00,21:35,95,,,,,,,168,Air Canada
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YYZ,20:00,21:40,100,,,,,,,168,WestJet
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YYZ,21:20,22:56,96,,,,,,,168,Air Canada
2026-09-13T16:24:09,separate_outbound,2027-01-25,YUL,YYZ,18:10,19:50,100,,,,,,,426,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2027-01-26,YYZ,YUL,06:20,07:50,90,165,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2027-01-26,YTZ,YUL,06:45,08:01,76,226,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,18:30,19:56,86,2027-01-26,YYZ,YUL,,,,471,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,19:55,21:20,85,2027-01-26,YYZ,YUL,,,,471,Porter Airlines
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,20:10,21:36,86,2027-01-26,YYZ,YUL,,,,471,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,20:00,21:40,100,2027-01-26,YTZ,YUL,,,,299,WestJet
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,17:10,18:55,105,2027-01-26,YTZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,17:25,19:00,95,2027-01-26,YTZ,YUL,,,,334,Porter Airlines
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,19:10,20:50,100,2027-01-26,YTZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,20:00,21:35,95,2027-01-26,YTZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,20:00,21:40,100,2027-01-26,YYZ,YUL,,,,299,WestJet
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,17:10,18:55,105,2027-01-26,YYZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,17:25,19:00,95,2027-01-26,YYZ,YUL,,,,334,Porter Airlines
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,19:10,20:50,100,2027-01-26,YYZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,20:00,21:35,95,2027-01-26,YYZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,18:30,19:56,86,2027-01-26,YTZ,YUL,,,,471,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,19:55,21:20,85,2027-01-26,YTZ,YUL,,,,471,Porter Airlines
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,20:10,21:36,86,2027-01-26,YTZ,YUL,,,,471,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2027-01-27,YYZ,YUL,06:20,07:50,90,165,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2027-01-27,YTZ,YUL,06:45,08:01,76,226,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,18:30,19:56,86,2027-01-27,YYZ,YUL,,,,471,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,19:55,21:20,85,2027-01-27,YYZ,YUL,,,,471,Porter Airlines
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,20:10,21:36,86,2027-01-27,YYZ,YUL,,,,471,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,17:10,18:55,105,2027-01-27,YYZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,17:25,19:00,95,2027-01-27,YYZ,YUL,,,,334,Porter Airlines
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,19:10,20:50,100,2027-01-27,YYZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,20:00,21:35,95,2027-01-27,YYZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,20:00,21:40,100,2027-01-27,YYZ,YUL,,,,334,WestJet
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,18:30,19:56,86,2027-01-27,YTZ,YUL,,,,471,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,19:55,21:20,85,2027-01-27,YTZ,YUL,,,,471,Porter Airlines
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YTZ,20:10,21:36,86,2027-01-27,YTZ,YUL,,,,471,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,17:10,18:55,105,2027-01-27,YTZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,17:25,19:00,95,2027-01-27,YTZ,YUL,,,,334,Porter Airlines
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,19:10,20:50,100,2027-01-27,YTZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,20:00,21:35,95,2027-01-27,YTZ,YUL,,,,334,Air Canada
2026-09-13T16:24:09,roundtrip,2027-01-25,YUL,YYZ,20:00,21:40,100,2027-01-27,YTZ,YUL,,,,334,WestJet
