run_timestamp,booking_type,outbound_date,outbound_from,outbound_to,outbound_departure,outbound_arrival,outbound_duration_min,return_date,return_from,return_to,return_departure,return_arrival,return_duration_min,price,airlines
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YTZ,18:30,19:56,86,,,,,,,223,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YTZ,19:55,21:20,85,,,,,,,223,Porter Airlines
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YTZ,20:10,21:36,86,,,,,,,223,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YYZ,17:25,19:00,95,,,,,,,223,Porter Airlines
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YYZ,17:10,18:55,105,,,,,,,363,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YYZ,18:10,19:46,96,,,,,,,363,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YYZ,19:10,20:50,100,,,,,,,363,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YYZ,20:00,21:35,95,,,,,,,363,Air Canada
2026-09-13T16:24:09,separate_outbound,2026-11-09,YUL,YYZ,21:20,22:56,96,,,,,,,363,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2026-11-10,YYZ,YUL,06:20,07:50,90,219,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2026-11-10,YTZ,YUL,06:45,08:01,76,207,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,17:25,19:00,95,2026-11-10,YTZ,YUL,,,,445,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,17:10,18:55,105,2026-11-10,YTZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,18:10,19:46,96,2026-11-10,YTZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,19:10,20:50,100,2026-11-10,YTZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,20:00,21:35,95,2026-11-10,YTZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YTZ,18:30,19:56,86,2026-11-10,YTZ,YUL,,,,432,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YTZ,19:55,21:20,85,2026-11-10,YTZ,YUL,,,,432,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YTZ,20:10,21:36,86,2026-11-10,YTZ,YUL,,,,432,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YTZ,18:30,19:56,86,2026-11-10,YYZ,YUL,,,,432,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YTZ,19:55,21:20,85,2026-11-10,YYZ,YUL,,,,432,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YTZ,20:10,21:36,86,2026-11-10,YYZ,YUL,,,,432,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,17:25,19:00,95,2026-11-10,YYZ,YUL,,,,445,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,17:10,18:55,105,2026-11-10,YYZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,18:10,19:46,96,2026-11-10,YYZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,19:10,20:50,100,2026-11-10,YYZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,20:00,21:35,95,2026-11-10,YYZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2026-11-11,YTZ,YUL,06:45,08:01,76,207,Air Canada
2026-09-13T16:24:09,separate_return,,,,,,,2026-11-11,YYZ,YUL,06:20,07:50,90,219,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,17:25,19:00,95,2026-11-11,YYZ,YUL,,,,445,Porter Airlines
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,17:10,18:55,105,2026-11-11,YYZ,YUL,,,,585,Air Canada
2026-09-13T16:24:09,roundtrip,2026-11-09,YUL,YYZ,18:10,19:46,96,2026-11-11,YYZ,YUL,,,,585,Air Canada
